"","county_desc","DEM","REP","UNA","LIB","WHITE","BLACK","NATIVE","UND","TWO","ASIAN"
"56","MACON",2399,2434,1021,0,5769,14,8,38,0,5
"57","MADISON",1602,968,398,0,2937,3,3,19,0,0
"58","MARTIN",548,89,55,0,484,201,1,4,0,1
"59","MCDOWELL",1898,1480,578,0,3869,57,1,8,0,4
"60","MECKLENBURG",12659,13680,5890,0,26205,5029,49,340,0,132
"61","MITCHELL",210,916,321,0,1436,3,1,6,0,0
"62","MONTGOMERY",388,273,72,0,644,72,0,10,0,1
"63","MOORE",1122,1955,727,0,3528,210,8,21,0,3
"64","NASH",1351,1151,225,0,2161,514,10,14,0,1
"65","NEW HANOVER",2717,3363,1151,0,6506,599,12,66,0,10
"66","NORTHAMPTON",335,45,71,0,305,139,1,3,0,0
"67","ONSLOW",1802,1841,774,0,3519,625,12,140,0,25
"68","ORANGE",5166,964,1471,0,6737,501,9,141,0,75
"69","PAMLICO",762,503,201,0,1221,223,2,12,0,1
"70","PASQUOTANK",1640,497,286,0,1820,562,4,15,0,6
"71","PENDER",1556,1502,560,0,3135,414,5,42,0,3
"72","PERQUIMANS",339,180,94,0,490,122,0,0,0,0
"73","PERSON",2792,936,636,0,3653,659,20,10,0,5
"74","PITT",3303,2355,611,0,5302,861,9,38,0,11
"75","POLK",1531,1365,879,0,3618,131,1,7,0,2
"76","RANDOLPH",1362,2969,528,0,4707,106,5,18,0,3
"77","RICHMOND",1297,293,115,0,1390,291,7,11,0,2
"78","ROBESON",556,74,42,0,347,211,100,5,0,0
"79","ROCKINGHAM",1663,858,340,0,2326,506,6,13,0,0
"80","ROWAN",1410,1862,490,0,3364,349,6,17,0,5
"81","RUTHERFORD",3308,2455,709,0,6144,270,8,33,0,1
"82","SAMPSON",884,655,118,0,1268,344,31,8,0,0
"83","SCOTLAND",2582,497,401,0,1917,1433,78,30,0,8
"84","STANLY",1828,1887,518,0,4018,190,2,4,0,1
"85","STOKES",383,504,116,0,973,15,0,10,0,0
"86","SURRY",2558,1764,495,0,4682,91,3,23,0,3
"87","SWAIN",1256,518,252,0,1874,29,105,4,0,3
"88","TRANSYLVANIA",2627,2754,1410,0,6645,96,1,23,0,8
"89","TYRRELL",134,11,18,0,149,12,0,2,0,0
"90","UNION",2119,2666,893,0,4906,685,9,34,0,5
"91","VANCE",1929,404,195,0,1732,763,2,10,0,4
"92","WAKE",13741,12191,5235,0,26328,3690,54,302,0,195
"93","WARREN",603,64,55,0,279,422,12,6,0,0
"94","WASHINGTON",669,84,95,0,658,184,0,4,0,0
"95","WATAUGA",2662,2099,1106,0,5765,33,1,21,0,7
"96","WAYNE",3635,2636,654,0,5408,1386,8,52,0,8
"97","WILKES",1112,1349,323,0,2650,115,1,8,0,0
"98","WILSON",1653,725,186,0,1993,545,0,7,0,1
"99","YADKIN",186,435,111,0,717,5,0,5,0,1
"100","YANCEY",1261,1115,302,0,2650,18,2,5,0,1
