X,Party,Percent,X,variable,value,,,,
Lenoir,GOP,0.51,Lenoir,GOP,0.5,0.505,#REF!,,
Lincoln,Dem,0.3,Lincoln,DEM,0.33,0.315,#REF!,,
Lincoln,GOP,0.69,Lincoln,GOP,0.67,0.68,#REF!,,
Macon,Dem,0.34,Macon,DEM,0.39,0.365,#REF!,,
Macon,GOP,0.65,Macon,GOP,0.61,0.63,#REF!,,
Madison,Dem,0.45,Madison,DEM,0.49,0.47,#REF!,,
Madison,GOP,0.54,Madison,GOP,0.51,0.525,#REF!,,
Martin,Dem,0.52,Martin,DEM,0.52,0.52,#REF!,,
Martin,GOP,0.48,Martin,GOP,0.48,0.48,#REF!,,
McDowell,Dem,0.34,McDowell,DEM,0.36,0.35,#REF!,,
McDowell,GOP,0.65,McDowell,GOP,0.64,0.645,#REF!,,
Mecklenburg,Dem,0.61,Mecklenburg,DEM,0.62,0.615,#REF!,,
Mecklenburg,GOP,0.38,Mecklenburg,GOP,0.38,0.38,#REF!,,
Mitchell,Dem,0.24,Mitchell,DEM,0.29,0.265,#REF!,,
Mitchell,GOP,0.75,Mitchell,GOP,0.71,0.73,#REF!,,
Montgomery,Dem,0.42,Montgomery,DEM,0.44,0.43,#REF!,,
Montgomery,GOP,0.57,Montgomery,GOP,0.56,0.565,#REF!,,
Moore,Dem,0.36,Moore,DEM,0.39,0.375,#REF!,,
Moore,GOP,0.64,Moore,GOP,0.61,0.625,#REF!,,
Nash,Dem,0.5,Nash,DEM,0.49,0.495,#REF!,,
Nash,GOP,0.49,Nash,GOP,0.51,0.5,#REF!,,
New Hanover,Dem,0.47,New Hanover,DEM,0.49,0.48,#REF!,,
New Hanover,GOP,0.52,New Hanover,GOP,0.51,0.515,#REF!,,
Northampton,Dem,0.67,Northampton,DEM,0.65,0.66,#REF!,,
Northampton,GOP,0.32,Northampton,GOP,0.35,0.335,#REF!,,
Onslow,Dem,0.36,Onslow,DEM,0.39,0.375,#REF!,,
Onslow,GOP,0.63,Onslow,GOP,0.61,0.62,#REF!,,
Orange,Dem,0.7,Orange,DEM,0.73,0.715,#REF!,,
Orange,GOP,0.28,Orange,GOP,0.27,0.275,#REF!,,
Pamlico,Dem,0.39,Pamlico,DEM,0.43,0.41,#REF!,,
Pamlico,GOP,0.6,Pamlico,GOP,0.58,0.59,#REF!,,
Pasquotank,Dem,0.58,Pasquotank,DEM,0.57,0.575,#REF!,,
Pasquotank,GOP,0.42,Pasquotank,GOP,0.43,0.425,#REF!,,
Pender,Dem,0.39,Pender,DEM,0.42,0.405,#REF!,,
Pender,GOP,0.6,Pender,GOP,0.58,0.59,#REF!,,
Perquimans,Dem,0.42,Perquimans,DEM,0.43,0.425,#REF!,,
Perquimans,GOP,0.58,Perquimans,GOP,0.57,0.575,#REF!,,
Person,Dem,0.44,Person,DEM,0.46,0.45,#REF!,,
Person,GOP,0.55,Person,GOP,0.54,0.545,#REF!,,
Pitt,Dem,0.53,Pitt,DEM,0.54,0.535,#REF!,,
Pitt,GOP,0.46,Pitt,GOP,0.46,0.46,#REF!,,
Polk,Dem,0.39,Polk,DEM,0.42,0.405,#REF!,,
Polk,GOP,0.6,Polk,GOP,0.58,0.59,#REF!,,
Randolph,Dem,0.24,Randolph,DEM,0.29,0.265,#REF!,,
Randolph,GOP,0.75,Randolph,GOP,0.71,0.73,#REF!,,
Richmond,Dem,0.51,Richmond,DEM,0.51,0.51,#REF!,,
Richmond,GOP,0.48,Richmond,GOP,0.49,0.485,#REF!,,
Robeson,Dem,0.58,Robeson,DEM,0.57,0.575,#REF!,,
Robeson,GOP,0.41,Robeson,GOP,0.43,0.42,#REF!,,
Rockingham,Dem,0.39,Rockingham,DEM,0.43,0.41,#REF!,,
Rockingham,GOP,0.6,Rockingham,GOP,0.57,0.585,#REF!,,
Rowan,Dem,0.37,Rowan,DEM,0.38,0.375,#REF!,,
Rowan,GOP,0.63,Rowan,GOP,0.62,0.625,#REF!,,
Rutherford,Dem,0.33,Rutherford,DEM,0.34,0.335,#REF!,,
Rutherford,GOP,0.66,Rutherford,GOP,0.66,0.66,#REF!,,
Sampson,Dem,0.44,Sampson,DEM,0.46,0.45,#REF!,,
Sampson,GOP,0.55,Sampson,GOP,0.54,0.545,#REF!,,
Scotland,Dem,0.58,Scotland,DEM,0.58,0.58,#REF!,,
Scotland,GOP,0.41,Scotland,GOP,0.42,0.415,#REF!,,
Stanly,Dem,0.29,Stanly,DEM,0.32,0.305,#REF!,,
Stanly,GOP,0.7,Stanly,GOP,0.69,0.695,#REF!,,
Stokes,Dem,0.28,Stokes,DEM,0.32,0.3,#REF!,,
Stokes,GOP,0.71,Stokes,GOP,0.68,0.695,#REF!,,
Surry,Dem,0.31,Surry,DEM,0.36,0.335,#REF!,,
Surry,GOP,0.68,Surry,GOP,0.64,0.66,#REF!,,
Swain,Dem,0.46,Swain,DEM,0.49,0.475,#REF!,,
Swain,GOP,0.52,Swain,GOP,0.51,0.515,#REF!,,
Transylvania,Dem,0.41,Transylvania,DEM,0.44,0.425,#REF!,,
Transylvania,GOP,0.58,Transylvania,GOP,0.56,0.57,#REF!,,
Tyrrell,Dem,0.47,Tyrrell,DEM,0.49,0.48,#REF!,,
Tyrrell,GOP,0.52,Tyrrell,GOP,0.51,0.515,#REF!,,
Union,Dem,0.34,Union,DEM,0.37,0.355,#REF!,,
Union,GOP,0.65,Union,GOP,0.64,0.645,#REF!,,
Vance,Dem,0.64,Vance,DEM,0.63,0.635,#REF!,,
Vance,GOP,0.36,Vance,GOP,0.37,0.365,#REF!,,
Wake,Dem,0.55,Wake,DEM,0.58,0.565,#REF!,,
Wake,GOP,0.44,Wake,GOP,0.43,0.435,#REF!,,
Warren,Dem,0.68,Warren,DEM,0.69,0.685,#REF!,,
Warren,GOP,0.32,Warren,GOP,0.31,0.315,#REF!,,
Washington,Dem,0.59,Washington,DEM,0.58,0.585,#REF!,,
Washington,GOP,0.41,Washington,GOP,0.42,0.415,#REF!,,
Watauga,Dem,0.48,Watauga,DEM,0.52,0.5,#REF!,,
Watauga,GOP,0.5,Watauga,GOP,0.48,0.49,#REF!,,
Wayne,Dem,0.45,Wayne,DEM,0.46,0.455,#REF!,,
Wayne,GOP,0.54,Wayne,GOP,0.54,0.54,#REF!,,
Wilkes,Dem,0.28,Wilkes,DEM,0.31,0.295,#REF!,,
Wilkes,GOP,0.71,Wilkes,GOP,0.69,0.7,#REF!,,
Wilson,Dem,0.53,Wilson,DEM,0.52,0.525,#REF!,,
Wilson,GOP,0.46,Wilson,GOP,0.48,0.47,#REF!,,
Yadkin,Dem,0.24,Yadkin,DEM,0.27,0.255,#REF!,,
Yadkin,GOP,0.75,Yadkin,GOP,0.73,0.74,#REF!,,
Yancey,Dem,0.42,Yancey,DEM,0.47,0.445,#REF!,,
Yancey,GOP,0.56,Yancey,GOP,0.53,0.545,#REF!,,
