"","X","variable","value"
"141","Pender","DEM",0.42
"142","Pender","GOP",0.58
"143","Perquimans","DEM",0.43
"144","Perquimans","GOP",0.57
"145","Person","DEM",0.46
"146","Person","GOP",0.54
"147","Pitt","DEM",0.54
"148","Pitt","GOP",0.46
"149","Polk","DEM",0.42
"150","Polk","GOP",0.58
"151","Randolph","DEM",0.29
"152","Randolph","GOP",0.71
"153","Richmond","DEM",0.51
"154","Richmond","GOP",0.49
"155","Robeson","DEM",0.57
"156","Robeson","GOP",0.43
"157","Rockingham","DEM",0.43
"158","Rockingham","GOP",0.57
"159","Rowan","DEM",0.38
"160","Rowan","GOP",0.62
"161","Rutherford","DEM",0.34
"162","Rutherford","GOP",0.66
"163","Sampson","DEM",0.46
"164","Sampson","GOP",0.54
"165","Scotland","DEM",0.58
"166","Scotland","GOP",0.42
"167","Stanly","DEM",0.32
"168","Stanly","GOP",0.69
"169","Stokes","DEM",0.32
"170","Stokes","GOP",0.68
"171","Surry","DEM",0.36
"172","Surry","GOP",0.64
"173","Swain","DEM",0.49
"174","Swain","GOP",0.51
"175","Transylvania","DEM",0.44
"176","Transylvania","GOP",0.56
"177","Tyrrell","DEM",0.49
"178","Tyrrell","GOP",0.51
"179","Union","DEM",0.37
"180","Union","GOP",0.64
"181","Vance","DEM",0.63
"182","Vance","GOP",0.37
"183","Wake","DEM",0.58
"184","Wake","GOP",0.43
"185","Warren","DEM",0.69
"186","Warren","GOP",0.31
"187","Washington","DEM",0.58
"188","Washington","GOP",0.42
"189","Watauga","DEM",0.52
"190","Watauga","GOP",0.48
"191","Wayne","DEM",0.46
"192","Wayne","GOP",0.54
"193","Wilkes","DEM",0.31
"194","Wilkes","GOP",0.69
"195","Wilson","DEM",0.52
"196","Wilson","GOP",0.48
"197","Yadkin","DEM",0.27
"198","Yadkin","GOP",0.73
"199","Yancey","DEM",0.47
"200","Yancey","GOP",0.53
